patient_id,file_id,file_name,md5
TCGA-44-2659,dc8e99bb-f021-44e4-8c60-213405ee156a,325c7d6b-292d-46e5-85d1-785ae8a48c33.rna_seq.augmented_star_gene_counts.tsv,357e533a6bec9fcad430e9553c28a732
TCGA-44-2661,c3e2e99a-537a-4263-a835-fef5ed2c3588,6906b453-44ef-404a-9fe6-2b4d5fa65110.rna_seq.augmented_star_gene_counts.tsv,71740f1664884b0683c335ba95d503db
TCGA-44-2662,2bf191f1-b880-427e-996c-0e75df13d738,33e0a8b2-3e7e-46da-b5ef-76463308d3b9.rna_seq.augmented_star_gene_counts.tsv,ef0b2d0588b1848278ab06a7ef22b37d
TCGA-44-2665,ba8aebd8-07de-46c0-a28f-b2408c36f07f,77b82c3f-e20c-4e3b-a55c-08af359bbb6e.rna_seq.augmented_star_gene_counts.tsv,d1590f85d1f41250edf7dd5f7518ddfb
TCGA-44-2666,52363b7b-f157-4fbe-8388-169b6152c9fe,655b5152-d150-4b2a-b7cc-ef70dc0b2256.rna_seq.augmented_star_gene_counts.tsv,9b7b008eedede6079972ef9bd66aacd9
TCGA-44-2668,f47927c5-e1e9-4152-9817-79aa6e64111a,58e4f0e6-3b0f-4370-8abf-0b4d533672c5.rna_seq.augmented_star_gene_counts.tsv,0fc88797118778552f82be2c848df862
TCGA-44-3396,bbb70a6e-a91c-4c67-9ec0-b33185ab4f8d,1f7293ad-85b2-4d42-afcc-88cf1027cf5f.rna_seq.augmented_star_gene_counts.tsv,beeb398a1376012fdd784b5c99831e14
TCGA-44-3398,f73807f5-edf8-4a4d-8550-048d9c5413e5,1890feb6-9f7f-4437-9828-198ff43e16b0.rna_seq.augmented_star_gene_counts.tsv,4f063c01a122b4e335a57a03f8a93c05
TCGA-44-3917,b0b5b05d-f782-449d-94cf-8fd74a4bd30c,146a69db-f304-4dd3-97e2-4d11b6512069.rna_seq.augmented_star_gene_counts.tsv,f325cd9d860c3a44c00a9224028439db
TCGA-44-3918,cc1174cd-f902-46f0-9e69-b285b2b1317c,3f579bea-4481-42cd-b433-4f4ff65cf7b0.rna_seq.augmented_star_gene_counts.tsv,29dfdede38026aab732cfccf92916e1b
TCGA-44-3919,55bbaa27-e618-48d6-bac3-80e9cfbcdf2c,81e85e60-a0b6-4898-8cb0-02ac1a70f157.rna_seq.augmented_star_gene_counts.tsv,741d33e726c4c9be4b6046322f6af731
TCGA-44-4112,9af8b2eb-3dbb-4688-a5fd-15abc0460f57,9aba4243-1817-4f5f-8e9d-66da98229246.rna_seq.augmented_star_gene_counts.tsv,f6fc77b947e6e066e3e5203ffcd134a1
TCGA-44-5643,db07bd22-cf7a-4504-9491-1bdeb1e14339,c29e5bb3-860d-4f1f-b27d-ae5b9d8c4208.rna_seq.augmented_star_gene_counts.tsv,3510c07447e7c8b228629caf2f48e938
TCGA-44-5644,23ab7447-ba7a-4947-bacf-2c0b209b38cf,e89ecf81-4892-48c8-be13-926f92d5ec97.rna_seq.augmented_star_gene_counts.tsv,0ed3b7ac747cca1ba51081f22c1cf742
TCGA-44-5645,1c9ada61-d900-4498-9ef1-14a91212faf6,9e504ab4-85a0-465d-be52-0c28ed83e5f8.rna_seq.augmented_star_gene_counts.tsv,4bd120d884095948f8cc7ad075e8d008
